	0.3	 0.4	 0.5	 0.6	 0.7	 0.8	 0.9	 1.0
Mg I	1.0	1.01	1.04	1.11	1.23	1.44	1.8	2.38
 Mg II	2.0	2.0	2.0	2.0	2.01	2.02	2.04	2.07
 Fe I	23.19	26.58	30.89	36.47	43.67	52.84	64.35	78.54
 Fe II	36.75	41.92	46.73	51.7	57.07	62.97	69.44	76.51
 Al I	5.82	5.87	5.91	6.01	6.22	6.65	7.37	8.46
 Al II	1.0	1.0	1.0	1.0	1.01	1.03	1.05	1.09
 Ti I	22.38	27.45	34.68	44.36	56.77	72.13	90.65	112.38
 Ti II	46.84	53.4	59.93	66.49	73.06	79.64	86.26	92.94
 Na I	2.01	2.04	2.15	2.48	3.22	4.6	6.79	9.92
 Na II	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
 K I	2.03	2.15	2.51	3.36	4.99	7.63	11.39	16.3
 K II	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
 Ca I	1.02	1.12	1.36	1.84	2.72	4.27	6.79	10.56
 Ca II	2.04	2.15	2.35	2.62	2.95	3.32	3.71	4.12
 Mn I	6.04	6.26	6.88	8.1	10.07	12.99	17.03	22.39
 Mn II	7.16	7.56	8.27	9.36	10.9	12.98	15.66	18.98
